gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-Desikan_rh_thickness_paracentral	Desikan	rh	frontoparietal	paracentral
aparc-Desikan_rh_thickness_parsopercularis	Desikan	rh	frontal	parsopercularis
aparc-Desikan_rh_thickness_parsorbitalis	Desikan	rh	frontal	parsorbitalis
aparc-Desikan_rh_thickness_parstriangularis	Desikan	rh	frontal	parstriangularis
aparc-Desikan_rh_thickness_pericalcarine	Desikan	rh	occipital	pericalcarine
aparc-Desikan_rh_thickness_postcentral	Desikan	rh	parietal	postcentral
aparc-Desikan_rh_thickness_posteriorcingulate	Desikan	rh	cingulate	posteriorcingulate
aparc-Desikan_rh_thickness_precentral	Desikan	rh	frontal	precentral
aparc-Desikan_rh_thickness_precuneus	Desikan	rh	parietal	precuneus
aparc-Desikan_rh_thickness_rostralanteriorcingulate	Desikan	rh	cingulate	rostralanteriorcingulate
aparc-Desikan_rh_thickness_rostralmiddlefrontal	Desikan	rh	frontal	rostralmiddlefrontal
aparc-Desikan_rh_thickness_superiorfrontal	Desikan	rh	frontal	superiorfrontal
aparc-Desikan_rh_thickness_superiorparietal	Desikan	rh	parietal	superiorparietal
aparc-Desikan_rh_thickness_superiortemporal	Desikan	rh	temporal	superiortemporal
aparc-Desikan_rh_thickness_supramarginal	Desikan	rh	parietal	supramarginal
aparc-Desikan_rh_thickness_frontalpole	Desikan	rh	frontal	frontalpole
aparc-Desikan_rh_thickness_transversetemporal	Desikan	rh	temporal	transversetemporal
aparc-Desikan_rh_thickness_insula	Desikan	rh	insula	insula
aparc-DKTatlas_lh_thickness_caudalanteriorcingulate	DKTatlas	lh	cingulate	caudalanteriorcingulate
aparc-DKTatlas_lh_thickness_caudalmiddlefrontal	DKTatlas	lh	frontal	caudalmiddlefrontal
aparc-DKTatlas_lh_thickness_cuneus	DKTatlas	lh	occipital	cuneus
aparc-DKTatlas_lh_thickness_entorhinal	DKTatlas	lh	insula	entorhinal
aparc-DKTatlas_lh_thickness_fusiform	DKTatlas	lh	occipitotemporal	fusiform
aparc-DKTatlas_lh_thickness_inferiorparietal	DKTatlas	lh	parietal	inferiorparietal
aparc-DKTatlas_lh_thickness_inferiortemporal	DKTatlas	lh	temporal	inferiortemporal
aparc-DKTatlas_lh_thickness_isthmuscingulate	DKTatlas	lh	cingulate	isthmuscingulate
aparc-DKTatlas_lh_thickness_lateraloccipital	DKTatlas	lh	occipital	lateraloccipital
aparc-DKTatlas_lh_thickness_lateralorbitofrontal	DKTatlas	lh	frontal	lateralorbitofrontal
aparc-DKTatlas_lh_thickness_lingual	DKTatlas	lh	occipital	lingual
aparc-DKTatlas_lh_thickness_medialorbitofrontal	DKTatlas	lh	frontal	medialorbitofrontal
aparc-DKTatlas_lh_thickness_middletemporal	DKTatlas	lh	temporal	middletemporal
aparc-DKTatlas_lh_thickness_parahippocampal	DKTatlas	lh	insula	parahippocampal
aparc-DKTatlas_lh_thickness_paracentral	DKTatlas	lh	frontoparietal	paracentral
aparc-DKTatlas_lh_thickness_parsopercularis	DKTatlas	lh	frontal	parsopercularis
aparc-DKTatlas_lh_thickness_parsorbitalis	DKTatlas	lh	frontal	parsorbitalis
aparc-DKTatlas_lh_thickness_parstriangularis	DKTatlas	lh	frontal	parstriangularis
aparc-DKTatlas_lh_thickness_pericalcarine	DKTatlas	lh	occipital	pericalcarine
aparc-DKTatlas_lh_thickness_postcentral	DKTatlas	lh	parietal	postcentral
aparc-DKTatlas_lh_thickness_posteriorcingulate	DKTatlas	lh	cingulate	posteriorcingulate
aparc-DKTatlas_lh_thickness_precentral	DKTatlas	lh	frontal	precentral
aparc-DKTatlas_lh_thickness_precuneus	DKTatlas	lh	parietal	precuneus
aparc-DKTatlas_lh_thickness_rostralanteriorcingulate	DKTatlas	lh	cingulate	rostralanteriorcingulate
aparc-DKTatlas_lh_thickness_rostralmiddlefrontal	DKTatlas	lh	frontal	rostralmiddlefrontal
aparc-DKTatlas_lh_thickness_superiorfrontal	DKTatlas	lh	frontal	superiorfrontal
aparc-DKTatlas_lh_thickness_superiorparietal	DKTatlas	lh	parietal	superiorparietal
aparc-DKTatlas_lh_thickness_superiortemporal	DKTatlas	lh	temporal	superiortemporal
aparc-DKTatlas_lh_thickness_supramarginal	DKTatlas	lh	parietal	supramarginal
aparc-DKTatlas_lh_thickness_transversetemporal	DKTatlas	lh	temporal	transversetemporal
aparc-DKTatlas_lh_thickness_insula	DKTatlas	lh	insula	insula
aparc-DKTatlas_rh_thickness_caudalanteriorcingulate	DKTatlas	rh	cingulate	caudalanteriorcingulate
aparc-DKTatlas_rh_thickness_caudalmiddlefrontal	DKTatlas	rh	frontal	caudalmiddlefrontal
aparc-DKTatlas_rh_thickness_cuneus	DKTatlas	rh	occipital	cuneus
aparc-DKTatlas_rh_thickness_entorhinal	DKTatlas	rh	insula	entorhinal
aparc-DKTatlas_rh_thickness_fusiform	DKTatlas	rh	occipitotemporal	fusiform
aparc-DKTatlas_rh_thickness_inferiorparietal	DKTatlas	rh	parietal	inferiorparietal
aparc-DKTatlas_rh_thickness_inferiortemporal	DKTatlas	rh	temporal	inferiortemporal
aparc-DKTatlas_rh_thickness_isthmuscingulate	DKTatlas	rh	cingulate	isthmuscingulate
aparc-DKTatlas_rh_thickness_lateraloccipital	DKTatlas	rh	occipital	lateraloccipital
aparc-DKTatlas_rh_thickness_lateralorbitofrontal	DKTatlas	rh	frontal	lateralorbitofrontal
aparc-DKTatlas_rh_thickness_lingual	DKTatlas	rh	occipital	lingual
aparc-DKTatlas_rh_thickness_medialorbitofrontal	DKTatlas	rh	frontal	medialorbitofrontal
aparc-DKTatlas_rh_thickness_middletemporal	DKTatlas	rh	temporal	middletemporal
aparc-DKTatlas_rh_thickness_parahippocampal	DKTatlas	rh	insula	parahippocampal
aparc-DKTatlas_rh_thickness_paracentral	DKTatlas	rh	frontoparietal	paracentral
aparc-DKTatlas_rh_thickness_parsopercularis	DKTatlas	rh	frontal	parsopercularis
aparc-DKTatlas_rh_thickness_parsorbitalis	DKTatlas	rh	frontal	parsorbitalis
aparc-DKTatlas_rh_thickness_parstriangularis	DKTatlas	rh	frontal	parstriangularis
aparc-DKTatlas_rh_thickness_pericalcarine	DKTatlas	rh	occipital	pericalcarine
aparc-DKTatlas_rh_thickness_postcentral	DKTatlas	rh	parietal	postcentral
aparc-DKTatlas_rh_thickness_posteriorcingulate	DKTatlas	rh	cingulate	posteriorcingulate
aparc-DKTatlas_rh_thickness_precentral	DKTatlas	rh	frontal	precentral
aparc-DKTatlas_rh_thickness_precuneus	DKTatlas	rh	parietal	precuneus
aparc-DKTatlas_rh_thickness_rostralanteriorcingulate	DKTatlas	rh	cingulate	rostralanteriorcingulate
aparc-DKTatlas_rh_thickness_rostralmiddlefrontal	DKTatlas	rh	frontal	rostralmiddlefrontal
aparc-DKTatlas_rh_thickness_superiorfrontal	DKTatlas	rh	frontal	superiorfrontal
aparc-DKTatlas_rh_thickness_superiorparietal	DKTatlas	rh	parietal	superiorparietal
aparc-DKTatlas_rh_thickness_superiortemporal	DKTatlas	rh	temporal	superiortemporal
aparc-DKTatlas_rh_thickness_supramarginal	DKTatlas	rh	parietal	supramarginal
aparc-DKTatlas_rh_thickness_transversetemporal	DKTatlas	rh	temporal	transversetemporal
aparc-DKTatlas_rh_thickness_insula	DKTatlas	rh	insula	insula
aparc-a2009s_lh_thickness_G+S-frontomargin	a2009s	lh	frontal	G_and_S_frontomargin
aparc-a2009s_lh_thickness_G+S-occipital-inf	a2009s	lh	occipital	G_and_S_occipital_inf
aparc-a2009s_lh_thickness_G+S-paracentral	a2009s	lh	frontoparietal	G_and_S_paracentral
aparc-a2009s_lh_thickness_G+S-subcentral	a2009s	lh	frontoparietal	G_and_S_subcentral
aparc-a2009s_lh_thickness_G+S-transv-frontopol	a2009s	lh	frontal	G_and_S_transv_frontopol
aparc-a2009s_lh_thickness_G+S-cingul-Ant	a2009s	lh	cingulate	G_and_S_cingul-Ant
aparc-a2009s_lh_thickness_G+S-cingul-Mid-Ant	a2009s	lh	cingulate	G_and_S_cingul-Mid-Ant
aparc-a2009s_lh_thickness_G+S-cingul-Mid-Post	a2009s	lh	cingulate	G_and_S_cingul-Mid-Post
aparc-a2009s_lh_thickness_G-cingul-Post-dorsal	a2009s	lh	cingulate	G_cingul-Post-dorsal
aparc-a2009s_lh_thickness_G-cingul-Post-ventral	a2009s	lh	cingulate	G_cingul-Post-ventral
aparc-a2009s_lh_thickness_G-cuneus	a2009s	lh	occipital	G_cuneus
aparc-a2009s_lh_thickness_G-front-inf-Opercular	a2009s	lh	frontal	G_front_inf-Opercular
aparc-a2009s_lh_thickness_G-front-inf-Orbital	a2009s	lh	frontal	G_front_inf-Orbital
aparc-a2009s_lh_thickness_G-front-inf-Triangul	a2009s	lh	frontal	G_front_inf-Triangul
aparc-a2009s_lh_thickness_G-front-middle	a2009s	lh	frontal	G_front_middle
aparc-a2009s_lh_thickness_G-front-sup	a2009s	lh	frontal	G_front_sup
aparc-a2009s_lh_thickness_G-Ins-lg+S-cent-ins	a2009s	lh	insula	G_Ins_lg_and_S_cent_ins
aparc-a2009s_lh_thickness_G-insular-short	a2009s	lh	insula	G_insular_short
aparc-a2009s_lh_thickness_G-occipital-middle	a2009s	lh	occipital	G_occipital_middle
aparc-a2009s_lh_thickness_G-occipital-sup	a2009s	lh	occipital	G_occipital_sup
aparc-a2009s_lh_thickness_G-oc-temp-lat-fusifor	a2009s	lh	occipitotemporal	G_oc-temp_lat-fusifor
aparc-a2009s_lh_thickness_G-oc-temp-med-Lingual	a2009s	lh	occipitotemporal	G_oc-temp_med-Lingual
aparc-a2009s_lh_thickness_G-oc-temp-med-Parahip	a2009s	lh	temporal	G_oc-temp_med-Parahip
aparc-a2009s_lh_thickness_G-orbital	a2009s	lh	frontal	G_orbital
aparc-a2009s_lh_thickness_G-pariet-inf-Angular	a2009s	lh	parietal	G_pariet_inf-Angular
aparc-a2009s_lh_thickness_G-pariet-inf-Supramar	a2009s	lh	parietal	G_pariet_inf-Supramar
aparc-a2009s_lh_thickness_G-parietal-sup	a2009s	lh	parietal	G_parietal_sup
aparc-a2009s_lh_thickness_G-postcentral	a2009s	lh	parietal	G_postcentral
aparc-a2009s_lh_thickness_G-precentral	a2009s	lh	frontal	G_precentral
aparc-a2009s_lh_thickness_G-precuneus	a2009s	lh	parietal	G_precuneus
aparc-a2009s_lh_thickness_G-rectus	a2009s	lh	frontal	G_rectus
aparc-a2009s_lh_thickness_G-subcallosal	a2009s	lh	corpus callosum	G_subcallosal
aparc-a2009s_lh_thickness_G-temp-sup-G-T-transv	a2009s	lh	temporal	G_temp_sup-G_T_transv
aparc-a2009s_lh_thickness_G-temp-sup-Lateral	a2009s	lh	temporal	G_temp_sup-Lateral
aparc-a2009s_lh_thickness_G-temp-sup-Plan-polar	a2009s	lh	temporal	G_temp_sup-Plan_polar
aparc-a2009s_lh_thickness_G-temp-sup-Plan-tempo	a2009s	lh	temporal	G_temp_sup-Plan_tempo
aparc-a2009s_lh_thickness_G-temporal-inf	a2009s	lh	temporal	G_temporal_inf
aparc-a2009s_lh_thickness_G-temporal-middle	a2009s	lh	temporal	G_temporal_middle
aparc-a2009s_lh_thickness_Lat-Fis-ant-Horizont	a2009s	lh	temporal	Lat_Fis-ant-Horizont
aparc-a2009s_lh_thickness_Lat-Fis-ant-Vertical	a2009s	lh	temporal	Lat_Fis-ant-Vertical
aparc-a2009s_lh_thickness_Lat-Fis-post	a2009s	lh	temporal	Lat_Fis-post
aparc-a2009s_lh_thickness_Pole-occipital	a2009s	lh	occipital	Pole_occipital
aparc-a2009s_lh_thickness_Pole-temporal	a2009s	lh	temporal	Pole_temporal
aparc-a2009s_lh_thickness_S-calcarine	a2009s	lh	occipital	S_calcarine
aparc-a2009s_lh_thickness_S-central	a2009s	lh	frontoparietal	S_central
aparc-a2009s_lh_thickness_S-cingul-Marginalis	a2009s	lh	cingulate	S_cingul-Marginalis
aparc-a2009s_lh_thickness_S-circular-insula-ant	a2009s	lh	insula	S_circular_insula_ant
aparc-a2009s_lh_thickness_S-circular-insula-inf	a2009s	lh	insula	S_circular_insula_inf
aparc-a2009s_lh_thickness_S-circular-insula-sup	a2009s	lh	insula	S_circular_insula_sup
aparc-a2009s_lh_thickness_S-collat-transv-ant	a2009s	lh	occipital	S_collat_transv_ant
aparc-a2009s_lh_thickness_S-collat-transv-post	a2009s	lh	occipital	S_collat_transv_post
aparc-a2009s_lh_thickness_S-front-inf	a2009s	lh	frontal	S_front_inf
aparc-a2009s_lh_thickness_S-front-middle	a2009s	lh	frontal	S_front_middle
aparc-a2009s_lh_thickness_S-front-sup	a2009s	lh	frontal	S_front_sup
aparc-a2009s_lh_thickness_S-interm-prim-Jensen	a2009s	lh	parietal	S_interm_prim-Jensen
aparc-a2009s_lh_thickness_S-intrapariet+P-trans	a2009s	lh	parietal	S_intrapariet_and_P_trans
aparc-a2009s_lh_thickness_S-oc-middle+Lunatus	a2009s	lh	occipital	S_oc_middle_and_Lunatus
aparc-a2009s_lh_thickness_S-oc-sup+transversal	a2009s	lh	occipital	S_oc_sup_and_transversal
aparc-a2009s_lh_thickness_S-occipital-ant	a2009s	lh	occipital	S_occipital_ant
aparc-a2009s_lh_thickness_S-oc-temp-lat	a2009s	lh	occipitotemporal	S_oc-temp_lat
aparc-a2009s_lh_thickness_S-oc-temp-med+Lingual	a2009s	lh	occipitotemporal	S_oc-temp_med_and_Lingual
aparc-a2009s_lh_thickness_S-orbital-lateral	a2009s	lh	frontal	S_orbital_lateral
aparc-a2009s_lh_thickness_S-orbital-med-olfact	a2009s	lh	frontal	S_orbital_med-olfact
aparc-a2009s_lh_thickness_S-orbital-H-Shaped	a2009s	lh	frontal	S_orbital-H_Shaped
aparc-a2009s_lh_thickness_S-parieto-occipital	a2009s	lh	parietal	S_parieto_occipital
aparc-a2009s_lh_thickness_S-pericallosal	a2009s	lh	corpus callosum	S_pericallosal
aparc-a2009s_lh_thickness_S-postcentral	a2009s	lh	parietal	S_postcentral
aparc-a2009s_lh_thickness_S-precentral-inf-part	a2009s	lh	frontal	S_precentral-inf-part
aparc-a2009s_lh_thickness_S-precentral-sup-part	a2009s	lh	frontal	S_precentral-sup-part
aparc-a2009s_lh_thickness_S-suborbital	a2009s	lh	frontal	S_suborbital
aparc-a2009s_lh_thickness_S-subparietal	a2009s	lh	parietal	S_subparietal
aparc-a2009s_lh_thickness_S-temporal-inf	a2009s	lh	temporal	S_temporal_inf
aparc-a2009s_lh_thickness_S-temporal-sup	a2009s	lh	temporal	S_temporal_sup
aparc-a2009s_lh_thickness_S-temporal-transverse	a2009s	lh	temporal	S_temporal_transverse
aparc-a2009s_rh_thickness_G+S-frontomargin	a2009s	rh	frontal	G_and_S_frontomargin
aparc-a2009s_rh_thickness_G+S-occipital-inf	a2009s	rh	occipital	G_and_S_occipital_inf
aparc-a2009s_rh_thickness_G+S-paracentral	a2009s	rh	frontoparietal	G_and_S_paracentral
aparc-a2009s_rh_thickness_G+S-subcentral	a2009s	rh	frontoparietal	G_and_S_subcentral
aparc-a2009s_rh_thickness_G+S-transv-frontopol	a2009s	rh	frontal	G_and_S_transv_frontopol
aparc-a2009s_rh_thickness_G+S-cingul-Ant	a2009s	rh	cingulate	G_and_S_cingul-Ant
aparc-a2009s_rh_thickness_G+S-cingul-Mid-Ant	a2009s	rh	cingulate	G_and_S_cingul-Mid-Ant
aparc-a2009s_rh_thickness_G+S-cingul-Mid-Post	a2009s	rh	cingulate	G_and_S_cingul-Mid-Post
aparc-a2009s_rh_thickness_G-cingul-Post-dorsal	a2009s	rh	cingulate	G_cingul-Post-dorsal
aparc-a2009s_rh_thickness_G-cingul-Post-ventral	a2009s	rh	cingulate	G_cingul-Post-ventral
aparc-a2009s_rh_thickness_G-cuneus	a2009s	rh	occipital	G_cuneus
aparc-a2009s_rh_thickness_G-front-inf-Opercular	a2009s	rh	frontal	G_front_inf-Opercular
aparc-a2009s_rh_thickness_G-front-inf-Orbital	a2009s	rh	frontal	G_front_inf-Orbital
aparc-a2009s_rh_thickness_G-front-inf-Triangul	a2009s	rh	frontal	G_front_inf-Triangul
aparc-a2009s_rh_thickness_G-front-middle	a2009s	rh	frontal	G_front_middle
aparc-a2009s_rh_thickness_G-front-sup	a2009s	rh	frontal	G_front_sup
aparc-a2009s_rh_thickness_G-Ins-lg+S-cent-ins	a2009s	rh	insula	G_Ins_lg_and_S_cent_ins
aparc-a2009s_rh_thickness_G-insular-short	a2009s	rh	insula	G_insular_short
aparc-a2009s_rh_thickness_G-occipital-middle	a2009s	rh	occipital	G_occipital_middle
aparc-a2009s_rh_thickness_G-occipital-sup	a2009s	rh	occipital	G_occipital_sup
aparc-a2009s_rh_thickness_G-oc-temp-lat-fusifor	a2009s	rh	occipitotemporal	G_oc-temp_lat-fusifor
aparc-a2009s_rh_thickness_G-oc-temp-med-Lingual	a2009s	rh	occipitotemporal	G_oc-temp_med-Lingual
aparc-a2009s_rh_thickness_G-oc-temp-med-Parahip	a2009s	rh	temporal	G_oc-temp_med-Parahip
aparc-a2009s_rh_thickness_G-orbital	a2009s	rh	frontal	G_orbital
aparc-a2009s_rh_thickness_G-pariet-inf-Angular	a2009s	rh	parietal	G_pariet_inf-Angular
aparc-a2009s_rh_thickness_G-pariet-inf-Supramar	a2009s	rh	parietal	G_pariet_inf-Supramar
aparc-a2009s_rh_thickness_G-parietal-sup	a2009s	rh	parietal	G_parietal_sup
aparc-a2009s_rh_thickness_G-postcentral	a2009s	rh	parietal	G_postcentral
aparc-a2009s_rh_thickness_G-precentral	a2009s	rh	frontal	G_precentral
aparc-a2009s_rh_thickness_G-precuneus	a2009s	rh	parietal	G_precuneus
aparc-a2009s_rh_thickness_G-rectus	a2009s	rh	frontal	G_rectus
aparc-a2009s_rh_thickness_G-subcallosal	a2009s	rh	corpus callosum	G_subcallosal
aparc-a2009s_rh_thickness_G-temp-sup-G-T-transv	a2009s	rh	temporal	G_temp_sup-G_T_transv
aparc-a2009s_rh_thickness_G-temp-sup-Lateral	a2009s	rh	temporal	G_temp_sup-Lateral
aparc-a2009s_rh_thickness_G-temp-sup-Plan-polar	a2009s	rh	temporal	G_temp_sup-Plan_polar
aparc-a2009s_rh_thickness_G-temp-sup-Plan-tempo	a2009s	rh	temporal	G_temp_sup-Plan_tempo
aparc-a2009s_rh_thickness_G-temporal-inf	a2009s	rh	temporal	G_temporal_inf
aparc-a2009s_rh_thickness_G-temporal-middle	a2009s	rh	temporal	G_temporal_middle
aparc-a2009s_rh_thickness_Lat-Fis-ant-Horizont	a2009s	rh	temporal	Lat_Fis-ant-Horizont
aparc-a2009s_rh_thickness_Lat-Fis-ant-Vertical	a2009s	rh	temporal	Lat_Fis-ant-Vertical
aparc-a2009s_rh_thickness_Lat-Fis-post	a2009s	rh	temporal	Lat_Fis-post
aparc-a2009s_rh_thickness_Pole-occipital	a2009s	rh	occipital	Pole_occipital
aparc-a2009s_rh_thickness_Pole-temporal	a2009s	rh	temporal	Pole_temporal
aparc-a2009s_rh_thickness_S-calcarine	a2009s	rh	occipital	S_calcarine
aparc-a2009s_rh_thickness_S-central	a2009s	rh	frontoparietal	S_central
aparc-a2009s_rh_thickness_S-cingul-Marginalis	a2009s	rh	cingulate	S_cingul-Marginalis
aparc-a2009s_rh_thickness_S-circular-insula-ant	a2009s	rh	insula	S_circular_insula_ant
aparc-a2009s_rh_thickness_S-circular-insula-inf	a2009s	rh	insula	S_circular_insula_inf
aparc-a2009s_rh_thickness_S-circular-insula-sup	a2009s	rh	insula	S_circular_insula_sup
aparc-a2009s_rh_thickness_S-collat-transv-ant	a2009s	rh	occipital	S_collat_transv_ant
aparc-a2009s_rh_thickness_S-collat-transv-post	a2009s	rh	occipital	S_collat_transv_post
aparc-a2009s_rh_thickness_S-front-inf	a2009s	rh	frontal	S_front_inf
aparc-a2009s_rh_thickness_S-front-middle	a2009s	rh	frontal	S_front_middle
aparc-a2009s_rh_thickness_S-front-sup	a2009s	rh	frontal	S_front_sup
aparc-a2009s_rh_thickness_S-interm-prim-Jensen	a2009s	rh	parietal	S_interm_prim-Jensen
aparc-a2009s_rh_thickness_S-intrapariet+P-trans	a2009s	rh	parietal	S_intrapariet_and_P_trans
aparc-a2009s_rh_thickness_S-oc-middle+Lunatus	a2009s	rh	occipital	S_oc_middle_and_Lunatus
aparc-a2009s_rh_thickness_S-oc-sup+transversal	a2009s	rh	occipital	S_oc_sup_and_transversal
aparc-a2009s_rh_thickness_S-occipital-ant	a2009s	rh	occipital	S_occipital_ant
aparc-a2009s_rh_thickness_S-oc-temp-lat	a2009s	rh	occipitotemporal	S_oc-temp_lat
aparc-a2009s_rh_thickness_S-oc-temp-med+Lingual	a2009s	rh	occipitotemporal	S_oc-temp_med_and_Lingual
aparc-a2009s_rh_thickness_S-orbital-lateral	a2009s	rh	frontal	S_orbital_lateral
aparc-a2009s_rh_thickness_S-orbital-med-olfact	a2009s	rh	frontal	S_orbital_med-olfact
aparc-a2009s_rh_thickness_S-orbital-H-Shaped	a2009s	rh	frontal	S_orbital-H_Shaped
aparc-a2009s_rh_thickness_S-parieto-occipital	a2009s	rh	parietal	S_parieto_occipital
aparc-a2009s_rh_thickness_S-pericallosal	a2009s	rh	corpus callosum	S_pericallosal
aparc-a2009s_rh_thickness_S-postcentral	a2009s	rh	parietal	S_postcentral
aparc-a2009s_rh_thickness_S-precentral-inf-part	a2009s	rh	frontal	S_precentral-inf-part
aparc-a2009s_rh_thickness_S-precentral-sup-part	a2009s	rh	frontal	S_precentral-sup-part
aparc-a2009s_rh_thickness_S-suborbital	a2009s	rh	frontal	S_suborbital
aparc-a2009s_rh_thickness_S-subparietal	a2009s	rh	parietal	S_subparietal
aparc-a2009s_rh_thickness_S-temporal-inf	a2009s	rh	temporal	S_temporal_inf
aparc-a2009s_rh_thickness_S-temporal-sup	a2009s	rh	temporal	S_temporal_sup
aparc-a2009s_rh_thickness_S-temporal-transverse	a2009s	rh	temporal	S_temporal_transverse
